Date,Open,High,Low,Close,Volume,Adj Close
2000-11-06,5.125,5.1875,5.125,5.1875,6300,5.1875
2000-11-03,5.25,5.25,5.25,5.25,000,5.25
2000-11-02,5.00,5.25,5.00,5.25,32000,5.25
2000-11-01,4.75,5.1875,4.75,5.1875,10200,5.1875
2000-10-31,5.00,5.0625,4.4375,4.96875,14400,4.96875
2000-10-30,4.875,5.00,4.875,5.00,8500,5.00
2000-10-27,4.6875,4.8125,4.6875,4.8125,3900,4.8125
2000-10-26,4.75,4.75,4.75,4.75,600,4.75
2000-10-25,4.5625,5.00,4.50,4.50,14100,4.50
2000-10-24,5.125,5.125,4.625,4.625,3600,4.625
2000-10-23,5.00,5.125,4.9375,4.9375,4200,4.9375
2000-10-20,5.00,5.125,4.875,5.125,6500,5.125
2000-10-19,5.00,5.0625,5.00,5.0625,6200,5.0625
2000-10-18,4.8125,5.0625,4.8125,5.0625,10600,5.0625
2000-10-17,4.875,4.9375,4.6875,4.75,7300,4.75
2000-10-16,4.9375,5.00,4.9375,4.9375,7500,4.9375
2000-10-13,5.00,5.125,4.9375,5.125,8300,5.125
2000-10-12,4.9375,5.0625,4.875,4.9375,6000,4.9375
2000-10-11,5.10938,5.4375,4.875,4.875,9300,4.875
2000-10-10,5.50,5.75,5.50,5.75,5500,5.75
2000-10-09,5.25,5.75,5.25,5.25,6600,5.25
2000-10-06,5.375,5.375,5.375,5.375,1000,5.375
2000-10-05,5.625,5.64062,5.25,5.25,5200,5.25
2000-10-04,5.875,5.875,5.625,5.625,2400,5.625
2000-10-03,6.09375,6.125,5.9375,5.9375,7400,5.9375
2000-10-02,5.75,6.0625,5.75,6.00,29400,6.00
2000-09-29,5.5625,5.875,5.5625,5.75,11600,5.75
2000-09-28,5.75,6.09375,5.75,5.75,9700,5.75
2000-09-27,5.50,6.00,5.4375,5.9375,39000,5.9375
2000-09-26,5.375,5.875,5.375,5.75,41300,5.75
2000-09-25,4.875,5.75,4.875,5.4375,31100,5.4375
2000-09-22,4.79688,5.25,4.50,4.875,38200,4.875
2000-09-21,4.75,4.75,4.75,4.75,000,4.75
2000-09-20,4.9375,4.9375,4.75,4.75,700,4.75
2000-09-19,4.82812,4.82812,4.71875,4.75,2700,4.75
2000-09-18,4.875,4.9375,4.6875,4.9375,1600,4.9375
2000-09-15,4.875,5.00,4.6875,4.75,4500,4.75
2000-09-14,4.6875,4.9375,4.6875,4.8125,8300,4.8125
2000-09-13,4.79688,4.8125,4.79688,4.8125,500,4.8125
2000-09-12,4.9375,5.00,4.8125,5.00,3100,5.00
